x,y
652460.914621196,5951474.020733354
650528.8671868928,5951581.611016575
656403.332721711,5952665.325908222
654471.2852874077,5952772.916191445
652539.2378531045,5952880.506474666
650607.1904188013,5952988.096757888
658413.7033879228,5953964.221366314
656481.6559536196,5954071.811649536
654549.6085193163,5954179.401932758
652617.5610850131,5954286.99221598
650685.5136507099,5954394.582499201
662356.1214884379,5955155.526541185
660424.0740541347,5955263.116824406
658492.0266198313,5955370.707107628
656559.9791855281,5955478.297390849
654627.9317512248,5955585.887674072
652695.8843169216,5955693.477957293
650763.8368826184,5955801.068240515
666298.5395889529,5956346.831716054
664366.4921546497,5956454.421999276
662434.4447203464,5956562.012282497
660502.3972860432,5956669.602565719
658570.3498517398,5956777.19284894
656638.3024174366,5956884.783132162
654706.2549831333,5956992.373415384
652774.2075488301,5957099.963698606
650842.1601145269,5957207.553981828
668308.9102551646,5957645.727174145
666376.8628208614,5957753.317457368
664444.8153865582,5957860.907740589
662512.7679522549,5957968.498023811
660580.7205179516,5958076.088307032
658648.6730836483,5958183.678590254
656716.6256493451,5958291.2688734755
654784.5782150418,5958398.859156698
652852.5307807386,5958506.44943992
650920.4833464354,5958614.039723141
672251.3283556798,5958837.032349016
670319.2809213765,5958944.622632237
668387.2334870732,5959052.212915459
666455.18605277,5959159.803198681
664523.1386184668,5959267.393481903
662591.0911841635,5959374.983765124
660659.0437498603,5959482.574048346
658726.9963155569,5959590.1643315675
656794.9488812537,5959697.754614789
654862.9014469504,5959805.344898012
652930.8540126472,5959912.935181233
650998.806578344,5960020.525464455
676193.7464561948,5960028.337523885
674261.6990218916,5960135.927807107
672329.6515875882,5960243.518090328
670397.604153285,5960351.10837355
668465.5567189817,5960458.698656771
666533.5092846785,5960566.288939994
664601.4618503753,5960673.879223215
662669.414416072,5960781.469506437
660737.3669817687,5960889.0597896585
658805.3195474654,5960996.65007288
656873.2721131622,5961104.240356102
654941.2246788589,5961211.830639324
653009.1772445557,5961319.420922546
651077.1298102525,5961427.011205767
678204.1171224066,5961327.232981976
676272.0696881033,5961434.823265199
674340.0222538001,5961542.41354842
672407.9748194967,5961650.003831642
670475.9273851935,5961757.594114863
668543.8799508902,5961865.184398085
666611.832516587,5961972.774681307
664679.7850822838,5962080.364964529
662747.7376479805,5962187.9552477505
660815.6902136772,5962295.545530972
658883.6427793739,5962403.135814194
656951.5953450707,5962510.726097415
655019.5479107674,5962618.316380638
653087.5004764642,5962725.906663859
651155.453042161,5962833.496947081
682146.5352229218,5962518.538156847
680214.4877886184,5962626.128440068
678282.4403543152,5962733.71872329
676350.3929200119,5962841.309006512
674418.3454857087,5962948.899289734
672486.2980514053,5963056.489572955
670554.2506171021,5963164.079856177
668622.2031827988,5963271.670139398
666690.1557484956,5963379.260422621
664758.1083141924,5963486.8507058425
662826.0608798891,5963594.440989064
660894.0134455858,5963702.031272286
658961.9660112825,5963809.621555507
657029.9185769793,5963917.211838729
655097.871142676,5964024.802121951
653165.8237083728,5964132.392405173
651233.7762740696,5964239.982688394
686088.9533234367,5963709.843331716
684156.9058891335,5963817.433614938
682224.8584548302,5963925.023898159
680292.8110205269,5964032.614181381
678360.7635862237,5964140.204464602
676428.7161519204,5964247.794747825
674496.6687176172,5964355.385031046
672564.6212833138,5964462.975314268
670632.5738490106,5964570.5655974895
668700.5264147073,5964678.155880711
666768.4789804041,5964785.746163934
664836.4315461009,5964893.336447155
662904.3841117976,5965000.926730377
660972.3366774943,5965108.517013598
659040.289243191,5965216.10729682
657108.2418088878,5965323.697580041
655176.1943745845,5965431.287863264
653244.1469402813,5965538.878146485
651312.099505978,5965646.468429707
688099.3239896485,5965008.738789808
686167.2765553452,5965116.32907303
684235.229121042,5965223.919356251
682303.1816867387,5965331.509639473
680371.1342524354,5965439.099922694
678439.0868181322,5965546.690205916
676507.0393838289,5965654.280489138
674574.9919495257,5965761.87077236
672642.9445152223,5965869.461055581
670710.8970809191,5965977.051338803
668778.8496466158,5966084.641622025
666846.8022123126,5966192.231905247
664914.7547780094,5966299.822188469
662982.707343706,5966407.41247169
661050.6599094028,5966515.002754912
659118.6124750995,5966622.593038133
657186.5650407963,5966730.183321355
655254.517606493,5966837.773604577
653322.4701721898,5966945.363887799
651390.4227378865,5967052.954171021
692041.7420901636,5966200.043964677
690109.6946558603,5966307.634247898
688177.6472215571,5966415.224531121
686245.5997872538,5966522.814814342
684313.5523529506,5966630.405097564
682381.5049186472,5966737.995380785
680449.457484344,5966845.585664007
678517.4100500408,5966953.175947228
676585.3626157375,5967060.766230451
674653.3151814343,5967168.3565136725
672721.267747131,5967275.946796894
670789.2203128277,5967383.537080116
668857.1728785244,5967491.127363337
666925.1254442212,5967598.71764656
664993.078009918,5967706.307929781
663061.0305756147,5967813.898213003
661128.9831413114,5967921.488496224
659196.9357070081,5968029.078779446
657264.8882727049,5968136.6690626675
655332.8408384016,5968244.25934589
653400.7934040984,5968351.849629112
651468.7459697952,5968459.439912333
695984.1601906787,5967391.349139547
694052.1127563753,5967498.939422769
692120.0653220721,5967606.52970599
690188.0178877688,5967714.119989212
688255.9704534656,5967821.710272434
686323.9230191623,5967929.300555656
684391.875584859,5968036.890838877
682459.8281505557,5968144.481122099
680527.7807162525,5968252.07140532
678595.7332819493,5968359.661688542
676663.685847646,5968467.2519717645
674731.6384133428,5968574.842254986
672799.5909790394,5968682.432538208
670867.5435447362,5968790.022821429
668935.4961104329,5968897.613104651
667003.4486761297,5969005.203387873
665071.4012418265,5969112.793671095
663139.3538075231,5969220.383954316
661207.3063732199,5969327.974237538
659275.2589389166,5969435.5645207595
657343.2115046134,5969543.154803981
655411.1640703101,5969650.745087204
653479.1166360069,5969758.335370425
651547.0692017036,5969865.925653647
649615.0217674003,5969973.515936868
697994.5308568904,5968690.244597639
696062.4834225872,5968797.8348808605
694130.4359882838,5968905.425164082
692198.3885539806,5969013.015447304
690266.3411196773,5969120.605730525
688334.2936853741,5969228.196013748
686402.2462510708,5969335.786296969
684470.1988167675,5969443.376580191
682538.1513824642,5969550.966863412
680606.103948161,5969658.557146634
678674.0565138578,5969766.147429856
676742.0090795545,5969873.737713078
674809.9616452513,5969981.3279963
672877.9142109479,5970088.918279521
670945.8667766447,5970196.508562743
669013.8193423414,5970304.098845964
667081.7719080382,5970411.689129187
665149.724473735,5970519.279412408
663217.6770394316,5970626.86969563
661285.6296051284,5970734.4599788515
659353.5821708251,5970842.050262073
657421.5347365219,5970949.640545295
655489.4873022186,5971057.230828517
653557.4398679154,5971164.821111739
651625.3924336121,5971272.41139496
649693.3449993088,5971380.001678182
698072.8540887989,5970096.730338952
696140.8066544957,5970204.320622173
694208.7592201923,5970311.910905395
692276.7117858891,5970419.501188616
690344.6643515858,5970527.091471838
688412.6169172826,5970634.68175506
686480.5694829792,5970742.272038282
684548.522048676,5970849.862321503
682616.4746143727,5970957.452604725
680684.4271800695,5971065.042887947
678752.3797457663,5971172.633171168
676820.332311463,5971280.223454391
674888.2848771597,5971387.813737612
672956.2374428564,5971495.404020834
671024.1900085532,5971602.994304055
669092.1425742499,5971710.584587277
667160.0951399467,5971818.174870499
665228.0477056435,5971925.765153721
663296.0002713401,5972033.355436943
661363.9528370369,5972140.945720164
659431.9054027336,5972248.536003386
657499.8579684304,5972356.126286607
655567.810534127,5972463.71656983
653635.7630998238,5972571.306853051
651703.7156655206,5972678.897136273
649771.6682312173,5972786.487419494
698151.1773207075,5971503.216080265
696219.1298864041,5971610.806363487
694287.0824521009,5971718.396646708
